Dataset,Model,Method,Component,USFG,CI95_low,CI95_high,CI_excludes_0,MannWhitney_p,rank_biserial,n_Q1,n_Q4,Degenerate,p_FDR,Sig_FDR
HOME CREDIT,M4,LIME,epistemic,-1.0636103553795722,-1.1803950041341535,-0.9478161602388714,True,2.778837403234795e-75,0.670728,500,500,False,4.702647913166576e-75,True
HOME CREDIT,M4,LIME,aleatoric,-1.7779465040493674,-1.905668825587883,-1.6634845401548943,True,8.976244373831454e-129,0.882,500,500,False,2.96216064336438e-128,True
HOME CREDIT,M4,LIME,intra,,,,False,,,2000,2000,True,,False
HOME CREDIT,M4,LIME,inter,-1.0636103553795722,-1.1803950041341535,-0.9478161602388714,True,2.778837403234795e-75,0.670728,500,500,False,4.702647913166576e-75,True
HOME CREDIT,M5,SHAP,epistemic,-0.8268719440163598,-0.9583066225103734,-0.7062758303663453,True,3.005473224461558e-53,0.561176,500,500,False,4.220451762009847e-53,True
HOME CREDIT,M5,SHAP,aleatoric,-1.8961513124513338,-2.0147390026232666,-1.7820972150575978,True,1.946319713608898e-143,0.931616,500,500,False,1.070475842484894e-142,True
HOME CREDIT,M5,SHAP,intra,-0.800267130539225,-0.9290231137600464,-0.678390753813897,True,2.926131708694024e-52,0.55576,500,500,False,4.023431099454283e-52,True
HOME CREDIT,M5,SHAP,inter,-0.7167461229232711,-0.8322517120844652,-0.6083412112676759,True,1.740662540205141e-40,0.486672,500,500,False,2.344565870480394e-40,True
HOME CREDIT,M5,LIME,epistemic,-0.8325246499065547,-0.9581176855321979,-0.7141459268141992,True,9.967380836078416e-54,0.5637840000000001,500,500,False,1.4618825226248342e-53,True
HOME CREDIT,M5,LIME,aleatoric,-1.8323366234103868,-1.9623301313203385,-1.7139064436648985,True,5.203481389035876e-134,0.9000319999999999,500,500,False,1.807525114086146e-133,True
HOME CREDIT,M5,LIME,intra,-0.7951500518598018,-0.9221067225190467,-0.6654791797163242,True,2.364320002091429e-53,0.561744,500,500,False,3.39228522039205e-53,True
HOME CREDIT,M5,LIME,inter,-0.7060309466145034,-0.8242068527167427,-0.589160756578375,True,4.1109057869027433e-38,0.47153599999999996,500,500,False,5.426395638711621e-38,True
TAIWAN,M2,SHAP,epistemic,,,,False,,,2000,2000,True,,False
TAIWAN,M2,SHAP,aleatoric,-1.6720947702918263,-1.7694982818899383,-1.5758342356119965,True,2.3573631146554374e-137,0.91136,500,500,False,9.152115621603463e-137,True
TAIWAN,M2,SHAP,intra,,,,False,,,2000,2000,True,,False
TAIWAN,M2,SHAP,inter,,,,False,,,2000,2000,True,,False
TAIWAN,M2,LIME,epistemic,,,,False,,,2000,2000,True,,False
TAIWAN,M2,LIME,aleatoric,-1.5274492135814524,-1.6306482266583517,-1.4271858515648237,True,5.161717192825865e-121,0.854584,500,500,False,1.310282056640412e-120,True
TAIWAN,M2,LIME,intra,,,,False,,,2000,2000,True,,False
TAIWAN,M2,LIME,inter,,,,False,,,2000,2000,True,,False
TAIWAN,M3,SHAP,epistemic,-0.18036637513850487,-0.30891305250146694,-0.04941623393445602,True,0.00028064239971044655,0.13271200000000005,500,500,False,0.00030364587509654873,True
TAIWAN,M3,SHAP,aleatoric,-1.7325840237307542,-1.8383301325008348,-1.6304438461589106,True,1.4404011643543246e-137,0.91208,500,500,False,5.94165480296159e-137,True
TAIWAN,M3,SHAP,intra,-0.18036637513850487,-0.30891305250146694,-0.04941623393445602,True,0.00028064239971044655,0.13271200000000005,500,500,False,0.00030364587509654873,True
TAIWAN,M3,SHAP,inter,,,,False,,,2000,2000,True,,False
TAIWAN,M3,LIME,epistemic,-0.1358931572385434,-0.26971373179440983,-0.007018092998673001,True,0.0042395695151414454,0.10448000000000002,500,500,False,0.004304793661528237,True
TAIWAN,M3,LIME,aleatoric,-1.5952604004377722,-1.708827615171535,-1.4861999231375065,True,2.4510221798460977e-124,0.866432,500,500,False,7.703212565230592e-124,True
TAIWAN,M3,LIME,intra,-0.1358931572385434,-0.26971373179440983,-0.007018092998673001,True,0.0042395695151414454,0.10448000000000002,500,500,False,0.004304793661528237,True
TAIWAN,M3,LIME,inter,,,,False,,,2000,2000,True,,False
TAIWAN,M4,SHAP,epistemic,-0.48084049277491603,-0.5904088174513741,-0.3620022285766693,True,1.2350799353600218e-21,0.34907999999999995,500,500,False,1.5676014564184894e-21,True
TAIWAN,M4,SHAP,aleatoric,-1.6861204363830604,-1.7895312757838016,-1.5833923787749218,True,1.3484967617775133e-135,0.905424,500,500,False,4.9444881265175486e-135,True
TAIWAN,M4,SHAP,intra,,,,False,,,2000,2000,True,,False
TAIWAN,M4,SHAP,inter,-0.48084049277491603,-0.5904088174513741,-0.3620022285766693,True,1.2350799353600218e-21,0.34907999999999995,500,500,False,1.5676014564184894e-21,True
TAIWAN,M4,LIME,epistemic,-0.35716316666820164,-0.4690466214652952,-0.24358091710572916,True,1.623159331861325e-13,0.26949599999999996,500,500,False,1.9130092125508473e-13,True
TAIWAN,M4,LIME,aleatoric,-1.5526985054395912,-1.66250690882518,-1.448264476634364,True,5.161717192825865e-121,0.854584,500,500,False,1.310282056640412e-120,True
TAIWAN,M4,LIME,intra,,,,False,,,2000,2000,True,,False
TAIWAN,M4,LIME,inter,-0.35716316666820164,-0.4690466214652952,-0.24358091710572916,True,1.623159331861325e-13,0.26949599999999996,500,500,False,1.9130092125508473e-13,True
TAIWAN,M5,SHAP,epistemic,-0.4751189965031626,-0.6004896869575932,-0.36188112663360106,True,7.242195572176721e-17,0.30479999999999996,500,500,False,9.018583165352142e-17,True
TAIWAN,M5,SHAP,aleatoric,-1.7599782511223754,-1.860056258688996,-1.6563514534443715,True,4.016301934075687e-138,0.913944,500,500,False,1.7671728509933021e-137,True
TAIWAN,M5,SHAP,intra,-0.42267320605188896,-0.5449768703033391,-0.30678066594365516,True,6.766223960568907e-15,0.284552,500,500,False,8.269829285139776e-15,True
