Dataset,Model,Method,Group,N,K,rho_epistemic,p_epistemic,rho_aleatoric,p_aleatoric,rho_intra,p_intra,rho_inter,p_inter,p_epistemic_FDR,Sig_epistemic_FDR
TAIWAN,M2,SHAP,Majority,1000,7,,,0.5968283248283249,1.5524130382770924e-97,,,,,,
TAIWAN,M2,LIME,All,2000,7,,,0.6466081948945268,3.330773844058326e-237,,,,,,False
TAIWAN,M2,LIME,Minority,1000,7,,,0.587912411912412,5.300997632134392e-94,,,,,,
TAIWAN,M2,LIME,Majority,1000,7,,,0.5252558132558133,5.273907548331919e-72,,,,,,
TAIWAN,M3,SHAP,All,2000,7,0.10290413272603319,4.000009962719435e-06,0.715807255951814,0.0,0.10290413272603319,4.000009962719435e-06,,,4.235304666408813e-06,True
TAIWAN,M3,SHAP,Minority,1000,7,0.022402006402006402,0.4791834951608308,0.6586714306714306,1.9797102888883792e-125,0.022402006402006402,0.4791834951608308,,,,
TAIWAN,M3,SHAP,Majority,1000,7,0.14342564342564346,5.278441739904062e-06,0.5904806784806785,5.222124980671837e-95,0.14342564342564346,5.278441739904062e-06,,,,
TAIWAN,M3,LIME,All,2000,7,0.07918748579687145,0.0003930223066243465,0.6574670003667501,6.707956743371595e-248,0.07918748579687145,0.0003930223066243465,,,0.0003930223066243465,True
TAIWAN,M3,LIME,Minority,1000,7,0.015888699888699887,0.6157743982299473,0.6224424584424585,2.492049528858865e-108,0.015888699888699887,0.6157743982299473,,,,
TAIWAN,M3,LIME,Majority,1000,7,0.10015696015696017,0.0015178081844714184,0.5233959313959314,2.025769323099426e-71,0.10015696015696017,0.0015178081844714184,,,,
TAIWAN,M4,SHAP,All,2000,7,0.211408802681479,1.2146431551012692e-21,0.7050235757702779,1.6570757813244288e-300,,,0.211408802681479,1.2146431551012692e-21,1.681813599370988e-21,True
TAIWAN,M4,SHAP,Minority,1000,7,0.11397286197286198,0.0003045436037862187,0.635927087927088,1.9926207172914152e-114,,,0.11397286197286198,0.0003045436037862187,,
TAIWAN,M4,SHAP,Majority,1000,7,0.19265244065244067,8.138025782367935e-10,0.5727853407853408,2.977646241260746e-88,,,0.19265244065244067,8.138025782367935e-10,,
TAIWAN,M4,LIME,All,2000,7,0.1636412704716831,1.7932103479216303e-13,0.645769222184469,2.1418120946553865e-236,,,0.1636412704716831,1.7932103479216303e-13,2.017361641411834e-13,True
TAIWAN,M4,LIME,Minority,1000,7,0.07412261012261012,0.01906505613388054,0.5931328971328972,4.665561649178525e-96,,,0.07412261012261012,0.01906505613388054,,
TAIWAN,M4,LIME,Majority,1000,7,0.13722346122346124,1.3332568073678325e-05,0.5174919374919374,1.3741542260197985e-69,,,0.13722346122346124,1.3332568073678325e-05,,
TAIWAN,M5,SHAP,All,2000,7,0.20686134521533633,9.050389717297755e-21,0.7185995816498955,0.0,0.20423231255807814,2.829373858536063e-20,0.10611547302886826,1.97373470851038e-06,1.16362153508114e-20,True
TAIWAN,M5,SHAP,Minority,1000,7,0.16402312402312405,1.830827638903646e-07,0.6634638034638035,7.151904179032465e-128,0.15214726414726418,1.3417542626201604e-06,0.09645915645915647,0.0022610262078322932,,
TAIWAN,M5,SHAP,Majority,1000,7,0.16673656673656675,1.1376266313399472e-07,0.5893148293148293,1.4992212467800178e-94,0.18362395562395561,4.938223600104259e-09,0.065987045987046,0.036946208413888716,,
TAIWAN,M5,LIME,All,2000,7,0.17649227462306866,1.8571761993738427e-15,0.6533322268330567,8.943161805509753e-244,0.17413264953316238,4.4142380522527076e-15,0.09217400754350188,3.653586207037518e-05,2.228611439248611e-15,True
TAIWAN,M5,LIME,Minority,1000,7,0.14527004527004528,3.976910208439061e-06,0.6266245826245828,3.448915633977327e-110,0.14463225663225665,4.3876929371291594e-06,0.0756981756981757,0.01665537175554748,,
