DGP,Intercept,Strength,Seed,BaseRate,FracHit,Metric,USFG,USFG_gap_raw
logistic,-3.6,0.6,2,0.08643644184925842,0.3068,Comp_prob,0.05484335974787665,0.007028312177136058
logistic,-3.6,0.6,2,0.08643644184925842,0.3068,NRC,0.1933091526030816,0.36802159777727195
logistic,-3.6,0.6,2,0.08643644184925842,0.3068,decileZ(Comp),-0.019240371177078146,-0.019240371177078146
logistic,-3.6,0.6,2,0.08643644184925842,0.3068,decileZ(NRC),0.35605234098912647,0.35605234098912647
logistic,-3.6,0.6,2,0.08643644184925842,0.3068,logit-frac,0.047730823098102844,0.09658162989165553
logistic,-3.6,0.6,3,0.10533756563283914,0.2812,Comp_prob,0.056377513257131195,0.009169582279989603
logistic,-3.6,0.6,3,0.10533756563283914,0.2812,NRC,0.17181148560221127,0.26658133123612515
logistic,-3.6,0.6,3,0.10533756563283914,0.2812,decileZ(Comp),-0.030110167745130617,-0.030110167745130617
logistic,-3.6,0.6,3,0.10533756563283914,0.2812,decileZ(NRC),0.33421485534354933,0.33421485534354933
logistic,-3.6,0.6,3,0.10533756563283914,0.2812,logit-frac,0.09734935651022779,0.19818029788450597
logistic,-3.6,0.6,4,0.0944258710659699,0.3056,Comp_prob,0.1318099635311922,0.01904531257125782
logistic,-3.6,0.6,4,0.0944258710659699,0.3056,NRC,0.2510528438648811,0.2576937245546034
logistic,-3.6,0.6,4,0.0944258710659699,0.3056,decileZ(Comp),-0.014228743484599656,-0.014228743484599656
logistic,-3.6,0.6,4,0.0944258710659699,0.3056,decileZ(NRC),0.37870882922096794,0.37870882922096794
logistic,-3.6,0.6,4,0.0944258710659699,0.3056,logit-frac,0.11723499841849895,0.21341505568559127
logistic,-3.6,0.6,5,0.11739261267759675,0.2916,Comp_prob,0.18137466060293256,0.0323489518924225
logistic,-3.6,0.6,5,0.11739261267759675,0.2916,NRC,0.17188876522793295,0.3204121308511678
logistic,-3.6,0.6,5,0.11739261267759675,0.2916,decileZ(Comp),0.02830825323955239,0.02830825323955239
logistic,-3.6,0.6,5,0.11739261267759675,0.2916,decileZ(NRC),0.3371813046329333,0.3371813046329333
logistic,-3.6,0.6,5,0.11739261267759675,0.2916,logit-frac,0.0938826591931561,0.22166470453912002
logistic,-3.6,0.6,6,0.1117097144336858,0.3148,Comp_prob,0.16301932754156875,0.02774203381284507
logistic,-3.6,0.6,6,0.1117097144336858,0.3148,NRC,0.08252174481028375,0.1672568429237028
logistic,-3.6,0.6,6,0.1117097144336858,0.3148,decileZ(Comp),0.055455884427469876,0.055455884427469876
logistic,-3.6,0.6,6,0.1117097144336858,0.3148,decileZ(NRC),0.24847123790837575,0.24847123790837575
logistic,-3.6,0.6,6,0.1117097144336858,0.3148,logit-frac,0.05800827081980464,0.11353859788231746
logistic,-3.6,0.6,7,0.10100828754874851,0.2928,Comp_prob,0.21681307720995985,0.03312668382169219
logistic,-3.6,0.6,7,0.10100828754874851,0.2928,NRC,0.17589664014048925,0.3043842579699054
logistic,-3.6,0.6,7,0.10100828754874851,0.2928,decileZ(Comp),0.06540818999096423,0.06540818999096423
logistic,-3.6,0.6,7,0.10100828754874851,0.2928,decileZ(NRC),0.38034520736609806,0.38034520736609806
logistic,-3.6,0.6,7,0.10100828754874851,0.2928,logit-frac,0.15628007196234406,0.273971907682792
logistic,-3.6,0.6,8,0.14260757377430086,0.2888,Comp_prob,0.17592397335290502,0.038411966102005965
logistic,-3.6,0.6,8,0.14260757377430086,0.2888,NRC,0.17837725601454368,0.323612460235869
logistic,-3.6,0.6,8,0.14260757377430086,0.2888,decileZ(Comp),0.1445968668760294,0.1445968668760294
logistic,-3.6,0.6,8,0.14260757377430086,0.2888,decileZ(NRC),0.31739260580895684,0.31739260580895684
logistic,-3.6,0.6,8,0.14260757377430086,0.2888,logit-frac,0.05438729137206031,0.1252511515403828
logistic,-3.6,0.6,9,0.12357289458643779,0.2876,Comp_prob,0.26009219560870034,0.04758630033711065
logistic,-3.6,0.6,9,0.12357289458643779,0.2876,NRC,0.17188886431650668,0.3066511366035891
logistic,-3.6,0.6,9,0.12357289458643779,0.2876,decileZ(Comp),0.1492953228659734,0.1492953228659734
logistic,-3.6,0.6,9,0.12357289458643779,0.2876,decileZ(NRC),0.4038733110858981,0.403873311085898
logistic,-3.6,0.6,9,0.12357289458643779,0.2876,logit-frac,0.19654041424430838,0.37298621941966714
logistic,-3.6,0.6,10,0.16604211670200192,0.2992,Comp_prob,0.1875785893323462,0.04577485488847596
logistic,-3.6,0.6,10,0.16604211670200192,0.2992,NRC,0.10577616212445937,0.28310920448133603
logistic,-3.6,0.6,10,0.16604211670200192,0.2992,decileZ(Comp),0.14388079185549163,0.14388079185549163
logistic,-3.6,0.6,10,0.16604211670200192,0.2992,decileZ(NRC),0.3419387487185576,0.3419387487185576
logistic,-3.6,0.6,10,0.16604211670200192,0.2992,logit-frac,0.21763697506967558,0.4415109732384326
logistic,-3.6,0.6,11,0.13769533256647046,0.2928,Comp_prob,0.10015351645507596,0.020808040428388047
logistic,-3.6,0.6,11,0.13769533256647046,0.2928,NRC,0.17764234586844688,0.3518723514433709
