Arm,Stratifier,DGP,Intercept,Strength,Rep,Metric,USFG,CI_lo,CI_hi,CI_excludes_0,MannWhitney_p,p_FDR,Declared
FPR,aleatoric,logistic,-3.6,0.0,4,Comp_prob,-1.6281777325466114,-1.7430678364405323,-1.5295333121472052,True,9.09631626734524e-202,6.003568736447858e-200,True
FPR,aleatoric,logistic,-3.6,0.0,4,NRC,0.05580724912228481,0.00415136164415193,0.11734948198109078,True,3.704034116512503e-12,1.2223312584491261e-10,True
FPR,aleatoric,logistic,-3.6,0.0,4,decileZ(Comp),-0.01591835679359386,-0.12872222252918764,0.09313369237080009,False,1.2292557288047105e-09,2.0282719525277725e-08,False
FPR,aleatoric,logistic,-3.6,0.0,4,decileZ(NRC),-0.004283901157920749,-0.11767025485532513,0.10945096816749499,False,7.515608163860642e-12,1.6534337960493413e-10,False
FPR,aleatoric,logistic,-3.6,0.0,4,logit-frac,-0.0006257395894714849,-0.01841610420883741,0.017944039684619908,False,0.7520079571891587,0.9791734919191326,False
FPR,epistemic,logistic,-3.6,0.0,4,Comp_prob,0.03626773373784308,-0.07602125628974857,0.1376567853499223,False,0.8241525676259106,0.9750001955783678,False
FPR,epistemic,logistic,-3.6,0.0,4,NRC,-0.018832925620985902,-0.11725122146187639,0.08795270662421006,False,0.8951965188768032,0.9750001955783678,False
FPR,epistemic,logistic,-3.6,0.0,4,decileZ(Comp),0.006180446740544957,-0.09276055370352868,0.11577912758670804,False,0.8362492611626092,0.9750001955783678,False
FPR,epistemic,logistic,-3.6,0.0,4,decileZ(NRC),-0.03073200091667572,-0.1334218046102218,0.07705337853840778,False,0.9003209827883468,0.9750001955783678,False
FPR,epistemic,logistic,-3.6,0.0,4,logit-frac,-0.03073585209524581,-0.1358851059182481,0.06971799262039223,False,0.5430230309684724,0.9491125056041081,False
FPR,aleatoric,logistic,-3.6,0.0,5,Comp_prob,-1.765579755810075,-1.9022784074645283,-1.6405702454082616,True,5.355763965620973e-197,3.534804217309842e-195,True
FPR,aleatoric,logistic,-3.6,0.0,5,NRC,-0.004951970630658038,-0.04997628582142727,0.039594794600685844,False,4.4459597465014936e-15,9.781111442303286e-14,False
FPR,aleatoric,logistic,-3.6,0.0,5,decileZ(Comp),-0.04058337293963338,-0.15000271099438328,0.07506543483695935,False,3.431685738114588e-09,5.6622814678890704e-08,False
FPR,aleatoric,logistic,-3.6,0.0,5,decileZ(NRC),-0.020196329284350528,-0.13953708649975258,0.09414886076923375,False,4.198492971456374e-15,9.781111442303286e-14,False
FPR,aleatoric,logistic,-3.6,0.0,5,logit-frac,-0.001699902026252212,-0.019681664292397434,0.01620872263144643,False,0.4706853493522145,0.8797183671799286,False
FPR,epistemic,logistic,-3.6,0.0,5,Comp_prob,-0.018952651648509195,-0.12978894906536967,0.10280776041453439,False,0.3646519333990669,0.8794225826663347,False
FPR,epistemic,logistic,-3.6,0.0,5,NRC,-0.04268893265678353,-0.1518326830267283,0.05470982184270754,False,0.310360414551631,0.8794225826663347,False
FPR,epistemic,logistic,-3.6,0.0,5,decileZ(Comp),0.019925883958355838,-0.0916006672217486,0.1302344296308962,False,0.7042878561972341,0.9755038090276927,False
FPR,epistemic,logistic,-3.6,0.0,5,decileZ(NRC),0.0010662299402990315,-0.108645841597792,0.10290848858157213,False,0.9670728482321055,0.9967980587387567,False
FPR,epistemic,logistic,-3.6,0.0,5,logit-frac,-0.039991892332676235,-0.15825409631036377,0.06999289159777256,False,0.563975960261057,0.907863740908043,False
FPR,aleatoric,logistic,-3.6,0.0,6,Comp_prob,-1.6713973600795071,-1.7883218701193886,-1.5750038978549152,True,9.257796564930735e-203,6.110145732854285e-201,True
FPR,aleatoric,logistic,-3.6,0.0,6,NRC,0.08064327092558495,0.022703493284609202,0.1524493972547128,True,1.9138401148196062e-12,4.210448252603134e-11,True
FPR,aleatoric,logistic,-3.6,0.0,6,decileZ(Comp),-0.05817588157201664,-0.16387752467287203,0.05283758853989668,False,8.203404507829214e-09,1.3535617437918204e-07,False
FPR,aleatoric,logistic,-3.6,0.0,6,decileZ(NRC),-0.009189089980463241,-0.11710362168185498,0.11036024329174925,False,9.842445313333962e-15,3.2480069534002076e-13,False
FPR,aleatoric,logistic,-3.6,0.0,6,logit-frac,-0.00519151430605795,-0.02152158460855614,0.009362888296139033,False,0.4510896510110999,0.9538267113974458,False
FPR,epistemic,logistic,-3.6,0.0,6,Comp_prob,0.01969642064496233,-0.09133891202743538,0.1381032082114302,False,0.6848417179116315,0.9995985243122536,False
FPR,epistemic,logistic,-3.6,0.0,6,NRC,-0.009932851248575415,-0.12979073785150416,0.10604045973342698,False,0.9868458932268432,0.9995985243122536,False
FPR,epistemic,logistic,-3.6,0.0,6,decileZ(Comp),-0.026729068072420967,-0.12838954072725398,0.07955254307382911,False,0.5045133405386323,0.9995985243122536,False
