Dataset,Variant,Method,Model,K,Comp,Suff,CompRandom,SuffRandom,Comp_beats_random
HOME CREDIT,norm,SHAP,M5,21,0.8617747645063494,0.17585045449258302,0.1521359898564271,0.8513996896450408,True
HOME CREDIT,norm,SHAP,M5,31,0.9796038217531106,0.08156699714092727,0.265423804333036,0.7432694561650699,True
HOME CREDIT,norm,SHAP,M5,42,1.0124808698530963,0.08271787145952832,0.3720692987426988,0.6413339096486836,True
HOME CREDIT,norm,SHAP,M5,52,1.005710825128877,0.09789095379219942,0.4887493200285733,0.5369770569752214,True
HOME CREDIT,norm,LIME,M1,10,0.44080641527029835,0.5028177627798992,0.04506833999629002,0.9263801428435618,True
HOME CREDIT,norm,LIME,M1,21,0.515177777592957,0.43196413455321603,0.11556153358797944,0.8086382883731118,True
HOME CREDIT,norm,LIME,M1,31,0.6683030341449058,0.28167418465624394,0.2187481788775693,0.6985989996775692,True
HOME CREDIT,norm,LIME,M1,42,0.6687292248458045,0.26927392234254016,0.3384994898467655,0.5725026881336817,True
HOME CREDIT,norm,LIME,M1,52,0.7612702583256304,0.19375108574909314,0.4821624437838829,0.4671285141304321,True
HOME CREDIT,norm,LIME,M2,10,0.5323823180301113,0.3298868451083792,0.02187859927223846,0.9207023483825948,True
HOME CREDIT,norm,LIME,M2,21,0.6032349555767923,0.24459797899852065,0.08724656021382897,0.8043951132210121,True
HOME CREDIT,norm,LIME,M2,31,0.6690205335045131,0.1849651807840807,0.18429226997159565,0.6838102502263532,True
HOME CREDIT,norm,LIME,M2,42,0.7395229002532998,0.1651782350311766,0.3024064294708548,0.5589946692836754,True
HOME CREDIT,norm,LIME,M2,52,0.7922001550461935,0.10705435944638217,0.41729833954268436,0.43351036532740345,True
HOME CREDIT,norm,LIME,M3,10,0.5323823180301113,0.3298868451083792,0.02187859927223846,0.9207023483825948,True
HOME CREDIT,norm,LIME,M3,21,0.6032349555767923,0.24459797899852065,0.08724656021382897,0.8043951132210121,True
HOME CREDIT,norm,LIME,M3,31,0.6690205335045131,0.1849651807840807,0.18429226997159565,0.6838102502263532,True
HOME CREDIT,norm,LIME,M3,42,0.7395229002532998,0.1651782350311766,0.3024064294708548,0.5589946692836754,True
HOME CREDIT,norm,LIME,M3,52,0.7922001550461935,0.10705435944638217,0.41729833954268436,0.43351036532740345,True
HOME CREDIT,norm,LIME,M4,10,0.6558959357977534,0.301641663519262,0.05361094962917899,0.9109010995106926,True
HOME CREDIT,norm,LIME,M4,21,0.6763802697412981,0.24505679311412581,0.11834402218662048,0.8132469045789291,True
HOME CREDIT,norm,LIME,M4,31,0.7648161794743888,0.15059451690629747,0.2120621565026231,0.7037966017873337,True
HOME CREDIT,norm,LIME,M4,42,0.8319959850218147,0.11230648989721279,0.3219724816210878,0.5760577193142226,True
