Dataset,Model,Method,Variant,N,N_valid,rho_raw,p_raw,rho_partial,p_partial,rho_partial_linear,p_partial_linear,rho_aleatoric,p_aleatoric,shrinkage_pct,Degenerate,p_partial_FDR,Sig_partial_FDR,p_partial_linear_FDR,Sig_partial_linear_FDR
TAIWAN,M3,LIME,norm,2000,1944,-0.012171643497947887,0.591728857976622,-0.011097455886232507,0.627790736421193,-0.04721974627377453,0.037411664065743526,0.15620729199788957,4.3465371199170124e-12,8.8253292326257,False,0.8242966630170895,False,0.10632788734474474,False
TAIWAN,M4,SHAP,prob,2000,2000,0.211408802681479,1.2146431551012692e-21,-0.10939150013889687,0.0003332222592469177,-0.061121341362716165,0.006264749094255386,0.7050235757702779,1.6570757813244288e-300,48.255938848623735,False,0.002999000333222259,True,0.024164032220699346,True
TAIWAN,M4,LIME,prob,2000,2000,0.1636412704716831,1.7932103479216303e-13,-0.1395600941923586,0.0003332222592469177,-0.09393729404861041,2.5920640667385767e-05,0.645769222184469,2.1418120946553865e-236,14.715833120772281,False,0.002999000333222259,True,0.00034992864900970785,True
TAIWAN,M4,SHAP,logit,2000,2000,0.21657051922384377,1.1742049669007033e-22,-0.09505398804914227,0.0003332222592469177,-0.07037077514767538,0.0016426507012173527,0.7314820231448116,0.0,56.10945183591862,False,0.002999000333222259,True,0.008870313786573703,True
TAIWAN,M4,LIME,logit,2000,2000,0.15507186357611785,3.1045471252996333e-12,-0.13252495443093548,0.0003332222592469177,-0.11304374039100634,4.0350997423089054e-07,0.6570538337598537,1.7446536588105802e-247,14.53965189121178,False,0.002999000333222259,True,1.0894769304234044e-05,True
TAIWAN,M4,SHAP,norm,2000,1954,0.026262223746280833,0.24590450410260536,-0.03142246407449457,0.17227590803065645,-0.007377668274559865,0.7445490342278536,0.09284072564197376,3.9533092137319146e-05,-19.648908554229006,False,0.3793135621459514,False,0.8467524135099951,False
TAIWAN,M4,LIME,norm,2000,1954,0.05086172874670572,0.02455629881072818,-0.019752679281233795,0.38520493168943687,-0.007135108785875801,0.7526688120088846,0.16120912002541782,7.583840551188553e-13,61.163964009946945,False,0.5778073975341553,False,0.8467524135099951,False
TAIWAN,M5,SHAP,prob,2000,2000,0.20686134521533633,9.050389717297755e-21,-0.005944495486123871,0.7947350883038987,0.009527871387192816,0.670300203850634,0.7185995816498955,0.0,97.12633818564032,False,0.9329498862697941,False,0.8417723490217265,False
TAIWAN,M5,LIME,prob,2000,2000,0.17649227462306866,1.8571761993738427e-15,-0.010023988005997,0.6574475174941686,-0.007958961713284234,0.7221179387974402,0.6533322268330567,8.943161805509753e-244,94.32043808863303,False,0.8256317661554675,False,0.8467524135099951,False
TAIWAN,M5,SHAP,logit,2000,2000,0.2205906416476604,1.8246129347076994e-23,-0.00012741603185400797,0.9950016661112963,0.020331571724425193,0.3635858588617826,0.7436577014144253,0.0,99.94223869566619,False,0.9950016661112963,False,0.6330870654695798,False
