Dataset,Model,Method,Component,USFG_decileZ_NRC,CI95_low,CI95_high,CI_excludes_0,MannWhitney_p,rank_biserial,n_Q1,n_Q4,n_valid,Degenerate,p_FDR,Sig_FDR,floor,MDE,abs_USFG,decision_rule_NB6,Verdict,above_floor,above_MDE
TAIWAN,M2,LIME,aleatoric,-0.0043817324575229,-0.1183043132491301,0.1332571491063773,False,6.770716446156959e-06,0.1667852122813257,486,486,1944,False,2.7929205340397453e-05,True,0.045795977204345806,,0.0043817324575229,False,below detection floor - not distinguishable from zero,0.0,0.0
TAIWAN,M2,LIME,intra,,,,False,,,1944,1944,1944,True,,False,0.045795977204345806,,,False,N/A - component is structurally zero,,
TAIWAN,M2,LIME,inter,,,,False,,,1944,1944,1944,True,,False,0.045795977204345806,,,False,N/A - component is structurally zero,,
TAIWAN,M3,SHAP,epistemic,-0.0820191295929293,-0.2208410156765441,0.0479485766371786,False,0.1457289196019408,0.0539128520381377,486,486,1944,False,0.1923621738745619,False,0.045795977204345806,,0.0820191295929293,False,above floor but below MDE - inconclusive,1.0,0.0
TAIWAN,M3,SHAP,aleatoric,-0.0176177252483852,-0.1386294861938433,0.1011726100356444,False,0.0004567069240595,0.1298836559467561,486,486,1944,False,0.001039401965101,True,0.045795977204345806,,0.0176177252483852,False,below detection floor - not distinguishable from zero,0.0,0.0
TAIWAN,M3,SHAP,intra,-0.0820191295929293,-0.2208410156765441,0.0479485766371786,False,0.1457289196019408,0.0539128520381377,486,486,1944,False,0.1923621738745619,False,0.045795977204345806,,0.0820191295929293,False,above floor but below MDE - inconclusive,1.0,0.0
TAIWAN,M3,SHAP,inter,,,,False,,,1944,1944,1944,True,,False,0.045795977204345806,,,False,N/A - component is structurally zero,,
TAIWAN,M3,LIME,epistemic,0.0659739934391982,-0.05972148185609,0.2010986062364766,False,0.7380635686983795,-0.0123964842757708,486,486,1944,False,0.7494183928322008,False,0.045795977204345806,,0.0659739934391982,False,above floor but below MDE - inconclusive,1.0,0.0
TAIWAN,M3,LIME,aleatoric,-0.0471002128945666,-0.1722433129729206,0.0660344150225593,False,1.7409818329511084e-06,0.1771833561957019,486,486,1944,False,7.660320064984877e-06,True,0.045795977204345806,,0.0471002128945666,False,above floor but below MDE - inconclusive,1.0,0.0
TAIWAN,M3,LIME,intra,0.0659739934391982,-0.05972148185609,0.2010986062364766,False,0.7380635686983795,-0.0123964842757708,486,486,1944,False,0.7494183928322008,False,0.045795977204345806,,0.0659739934391982,False,above floor but below MDE - inconclusive,1.0,0.0
